ID;ESTACION;LINEA;geometry;estacion
1.0;CASEROS;H;POINT (-58.39892758536007 -34.63575018034302);CASEROS
2.0;INCLAN - MEZQUITA AL AHMAD;H;POINT (-58.4009695560165 -34.62937565757282);INCLAN
3.0;HUMBERTO 1Â°;H;POINT (-58.40232273042403 -34.6230923205019);HUMBERTO I
4.0;VENEZUELA;H;POINT (-58.40473171649001 -34.61524215227058);VENEZUELA
5.0;ONCE - 30 DE DICIEMBRE;H;POINT (-58.40603638103516 -34.60893524162154);ONCE
6.0;9 DE JULIO;D;POINT (-58.38057434288961 -34.60424520296293);9 DE JULIO
7.0;FACULTAD DE MEDICINA;D;POINT (-58.39792375557337 -34.59975708076389);FACULTAD DE MEDICINA
8.0;TRIBUNALES - TEATRO COLÃ“N;D;POINT (-58.38514235880128 -34.60158716513937);TRIBUNALES
9.0;AGÃœERO;D;POINT (-58.40716132018985 -34.59162784371989);AGUERO
10.0;R.SCALABRINI ORTIZ;D;POINT (-58.41595541900666 -34.58515594404935);SCALABRINI ORTIZ
11.0;PLAZA ITALIA;D;POINT (-58.42119601012643 -34.58141119360452);PLAZA ITALIA
12.0;PALERMO;D;POINT (-58.42571144111234 -34.57842202279036);PALERMO
13.0;RETIRO;C;POINT (-58.37401821648159 -34.59119380833323);RETIRO
14.0;LAVALLE;C;POINT (-58.37815578282436 -34.60176992301137);LAVALLE
15.0;DIAGONAL NORTE;C;POINT (-58.37952998007387 -34.60484373991405);DIAGONAL NORTE
16.0;AV. DE MAYO;C;POINT (-58.38061071795791 -34.60898331488271);AVENIDA DE MAYO
17.0;MORENO;C;POINT (-58.38044446966005 -34.61261727980374);MARIANO MORENO
18.0;INDEPENDENCIA;C;POINT (-58.38017361047525 -34.6181255992933);INDEPENDENCIA
19.0;CONSTITUCION;C;POINT (-58.38143443393432 -34.62761945225476);CONSTITUCION
20.0;FLORIDA;B;POINT (-58.37507151826356 -34.60329728557753);FLORIDA
21.0;C. PELLEGRINI;B;POINT (-58.38071484714089 -34.60363710518173);CARLOS PELLEGRINI
22.0;URUGUAY;B;POINT (-58.38729613354081 -34.60409355310568);URUGUAY
